cluster,mk,count
0,speaker_key,1974
0,שמחה רוטמן,950
0,יצחק פינדרוס,282
0,דוד ביטן,259
0,יעקב אשר,189
0,צביקה פוגל,187
0,משה גפני,182
0,ישראל אייכלר,169
0,יוסף טייב,149
0,טלי גוטליב,131
0,נאור שירי,130
0,גלעד קריב,128
0,אליהו רביבו,120
0,יונתן מישרקי,116
0,עמית הלוי,116
0,קארין אלהרר,114
0,מיכאל מרדכי ביטון,113
0,נעמה לזימי,108
0,אופיר כץ,95
0,ארז מלול,86
0,יוראי להב הרצנו,82
0,מיקי לוי,78
0,לימור סון הר מלך,76
0,ינון אזולאי,73
0,מטי צרפתי הרכבי,66
0,אפרת רייטן מרום,63
0,רון כץ,60
0,עודד פורר,59
0,פנינה תמנו,59
0,שלום דנינו,59
0,אלי דלל,53
0,קטי קטרין שטרית,53
0,סימון דוידסון,52
0,משה סעדה,50
0,חמד עמאר,49
0,דבי ביטון,48
0,ולדימיר בליאק,48
0,מיכל מרים וולדיגר,46
0,מירב בן ארי,46
0,אלון שוסטר,44
0,חנוך דב מלביצקי,39
0,משה טור פז,39
0,דן אילוז,36
0,יוליה מלינובסקי,36
0,יולי יואל אדלשטיין,35
0,אלמוג כהן,34
0,מאיר כהן,33
0,זאב אלקין,29
0,צבי ידידיה סוכות,28
0,שרון ניר,27
0,מישל בוסקילה,25
0,אלעזר שטרן,24
0,עאידה תומא סלימאן,24
0,שלי טל מירון,24
0,משה פסל,21
0,יצחק קרויזר,20
0,אוהד טל,19
0,חוה אתי עטייה,19
0,אליהו ברוכי,18
0,אוריאל בוסו,17
0,משה סולומון,17
0,אורית פרקש הכהן,16
0,יסמין פרידמן,16
0,עופר כסיף,16
0,ששון ששי גואטה,16
0,אריאל קלנר,15
0,ניסים ואטורי,15
0,יוסף עטאונה,14
0,ירון לוי,14
0,צגה מלקו,14
0,שלמה קרעי,14
0,יואב קיש,13
0,מירב כהן,12
0,אחמד טיבי,11
0,יואב סגלוביץ',11
0,איימן עודה,10
0,טטיאנה מזרסקי,10
0,סימון מושיאשוילי,10
0,גלית דיסטל אטבריאן,9
0,רם בן ברק,9
0,אימאן ח'טיב יאסין,8
0,יבגני סובה,8
0,משה רוט,8
0,אברהם בצלאל,7
0,בועז ביסמוט,7
0,בועז טופורובסקי,6
0,יאסר חוג'יראת,6
0,ווליד טאהא,5
0,יעל רון בן משה,5
0,שרן מרים השכל,5
0,עידן רול,4
0,מיכל שיר סגמן,3
0,איתן גינזבורג,2
0,גילה גמליאל,2
0,חילי טרופר,2
0,מרב מיכאלי,2
0,מתן כהנא,2
0,אביגדור ליברמן,1
0,אביחי אברהם בוארון,1
0,אורנה ברביבאי,1
0,ואליד אלהואשלה,1
0,יפעת שאשא ביטון,1
0,מנסור עבאס,1
0,עידית סילמן,1
1,speaker_key,2546
1,שמחה רוטמן,811
1,דוד ביטן,617
1,יעקב אשר,439
1,משה גפני,375
1,גלעד קריב,238
1,מיכאל מרדכי ביטון,208
1,ינון אזולאי,207
1,יוסף טייב,206
1,נאור שירי,203
1,ישראל אייכלר,198
1,צביקה פוגל,194
1,יונתן מישרקי,182
1,נעמה לזימי,175
1,עודד פורר,171
1,ולדימיר בליאק,166
1,פנינה תמנו,166
1,יצחק פינדרוס,159
1,אופיר כץ,151
1,אליהו רביבו,148
1,מיקי לוי,148
1,טלי גוטליב,138
1,זאב אלקין,105
1,יוראי להב הרצנו,102
